fc′,as,ec,fpe,Pu,Mu,Vu,carbon
28.0,99.0,0.5,0.0,146.40613070607571,7.219883169129732,4.162721967531906,3.6061301597499447
28.0,99.0,0.5,37.2,144.4910747060757,7.219883169129732,4.162657334391904,3.6061301597499447
28.0,99.0,0.5,74.4,142.5760187060757,7.219883169129732,4.1625927012519055,3.6061301597499447
28.0,99.0,0.5,111.6,140.6609627060757,7.219883169129732,4.1625280681119055,3.6061301597499447
28.0,99.0,0.5,148.8,138.74590670607571,7.219883169129732,4.1624634349719045,3.6061301597499447
28.0,99.0,0.5,186.0,136.83085070607572,7.219883169129732,4.1623988018319045,3.6061301597499447
28.0,99.0,0.5,223.2,134.91579470607573,7.219883169129732,4.162334168691904,3.6061301597499447
28.0,99.0,0.5,260.4,133.0007387060757,7.219883169129732,4.162269535551905,3.6061301597499447
28.0,99.0,0.5,297.6,131.08568270607572,7.219883169129732,4.162204902411905,3.6061301597499447
28.0,99.0,0.5,334.8,129.1706267060757,7.364277670840952,4.162140269271905,3.6061301597499447
28.0,99.0,0.5,372.0,127.25557070607572,7.5364441156432775,4.162075636131905,3.6061301597499447
28.0,99.0,0.5,409.2,125.34051470607572,7.708610560445601,4.162011002991905,3.6061301597499447
28.0,99.0,0.5,446.4,123.42545870607572,7.880777005247927,4.161946369851906,3.6061301597499447
28.0,99.0,0.5,483.6,121.51040270607572,8.05294345005025,4.161881736711904,3.6061301597499447
28.0,99.0,0.5,520.8,119.59534670607572,8.225109894852574,4.161817103571905,3.6061301597499447
28.0,99.0,0.5,558.0,117.68029070607571,8.3972763396549,4.161752470431905,3.6061301597499447
28.0,99.0,0.5,595.2,115.7652347060757,8.569442784457225,4.161687837291905,3.6061301597499447
28.0,99.0,0.5,632.4,113.85017870607571,8.741609229259549,4.161623204151905,3.6061301597499447
28.0,99.0,0.5,669.6,111.93512270607572,8.913775674061872,4.161558571011905,3.6061301597499447
28.0,99.0,0.5,706.8,110.02006670607572,9.085942118864196,4.161493937871905,3.6061301597499447
28.0,99.0,0.5,744.0,108.10501070607572,9.258108563666521,4.1614293047319055,3.6061301597499447
28.0,99.0,0.5,781.2,106.18995470607571,9.430275008468845,4.161364671591905,3.6061301597499447
28.0,99.0,0.5,818.4,104.27489870607572,9.60244145327117,4.161300038451905,3.6061301597499447
28.0,99.0,0.5,855.6,102.35984270607572,9.774607898073494,4.1612354053119045,3.6061301597499447
28.0,99.0,0.5,892.8,100.44478670607573,9.94677434287582,4.161170772171905,3.6061301597499447
28.0,99.0,0.5,930.0,98.52973070607571,9.996761311102706,4.161106139031905,3.6061301597499447
28.0,99.0,0.6,0.0,146.40613070607571,8.66385980295568,4.162721967531906,3.6061301597499447
28.0,99.0,0.6,37.2,144.4910747060757,8.66385980295568,4.162657334391904,3.6061301597499447
28.0,99.0,0.6,74.4,142.5760187060757,8.66385980295568,4.1625927012519055,3.6061301597499447
28.0,99.0,0.6,111.6,140.6609627060757,8.66385980295568,4.1625280681119055,3.6061301597499447
28.0,99.0,0.6,148.8,138.74590670607571,8.66385980295568,4.1624634349719045,3.6061301597499447
28.0,99.0,0.6,186.0,136.83085070607572,8.66385980295568,4.1623988018319045,3.6061301597499447
28.0,99.0,0.6,223.2,134.91579470607573,8.66385980295568,4.162334168691904,3.6061301597499447
28.0,99.0,0.6,260.4,133.0007387060757,8.66385980295568,4.162269535551905,3.6061301597499447
28.0,99.0,0.6,297.6,131.08568270607572,8.66385980295568,4.162204902411905,3.6061301597499447
28.0,99.0,0.6,334.8,129.1706267060757,8.837133205009144,4.162140269271905,3.6061301597499447
28.0,99.0,0.6,372.0,127.25557070607572,9.043732938771933,4.162075636131905,3.6061301597499447
28.0,99.0,0.6,409.2,125.34051470607572,9.250332672534721,4.162011002991905,3.6061301597499447
28.0,99.0,0.6,446.4,123.42545870607572,9.456932406297511,4.161946369851906,3.6061301597499447
28.0,99.0,0.6,483.6,121.51040270607572,9.663532140060301,4.161881736711904,3.6061301597499447
28.0,99.0,0.6,520.8,119.59534670607572,9.87013187382309,4.161817103571905,3.6061301597499447
28.0,99.0,0.6,558.0,117.68029070607571,10.076731607585879,4.161752470431905,3.6061301597499447
28.0,99.0,0.6,595.2,115.7652347060757,10.283331341348669,4.161687837291905,3.6061301597499447
28.0,99.0,0.6,632.4,113.85017870607571,10.489931075111459,4.161623204151905,3.6061301597499447
28.0,99.0,0.6,669.6,111.93512270607572,10.696530808874247,4.161558571011905,3.6061301597499447
