x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,0.5,93.0,28.94684,0.013623145635972956,0.14426336622148667,0.7361908065426285
28.0,99.0,0.5,186.0,24.159200000000002,0.003718486341410653,0.14410178337148666,0.7361908065426285
28.0,99.0,0.5,279.0,19.371560000000002,-0.004458792694445628,0.1439402005214867,0.7361908065426285
28.0,99.0,0.5,372.0,14.58392,-0.011903667153493695,0.14377861767148667,0.7361908065426285
28.0,99.0,0.5,465.0,9.79628,-0.01955760430821768,0.1436170348214867,0.7361908065426285
28.0,99.0,0.5,558.0,5.00864,-0.027369504194773346,0.14345545197148668,0.7361908065426285
28.0,99.0,0.5,651.0,0.221,-0.03545201422707573,0.1432938691214867,0.7361908065426285
28.0,99.0,0.5,744.0,-4.5666400000000005,-0.04388552987898613,0.14313228627148666,0.7361908065426285
28.0,99.0,0.5,837.0,-9.354280000000001,-0.052713853786850375,0.14297070342148668,0.7361908065426285
28.0,99.0,0.5,930.0,-14.14192,-0.06193958451183161,0.14280912057148668,0.7361908065426285
28.0,99.0,0.5,1023.0,-18.92956,-0.068644273594522,0.1426475377214867,0.7361908065426285
28.0,99.0,0.5,1116.0,-23.717200000000002,-0.0751922272254901,0.1424859548714867,0.7361908065426285
28.0,99.0,0.5,1209.0,-28.50484,-0.0815881758340902,0.14232437202148668,0.7361908065426285
28.0,99.0,0.5,1302.0,-33.292480000000005,-0.08296857297783754,0.14216278917148667,0.7361908065426285
28.0,99.0,0.6,93.0,28.94684,-0.12959037936402704,0.14426336622148667,0.7361908065426285
28.0,99.0,0.6,186.0,24.159200000000002,-0.13949503865858937,0.14410178337148666,0.7361908065426285
28.0,99.0,0.6,279.0,19.371560000000002,-0.14767231769444564,0.1439402005214867,0.7361908065426285
28.0,99.0,0.6,372.0,14.58392,-0.1590326595710021,0.14377861767148667,0.7361908065426285
28.0,99.0,0.6,465.0,9.79628,-0.17522432610072614,0.1436170348214867,0.7361908065426285
28.0,99.0,0.6,558.0,5.00864,-0.19157395536228175,0.14345545197148668,0.7361908065426285
28.0,99.0,0.6,651.0,0.221,-0.20819419476958417,0.1432938691214867,0.7361908065426285
28.0,99.0,0.6,744.0,-4.5666400000000005,-0.22516543979649456,0.14313228627148666,0.7361908065426285
28.0,99.0,0.6,837.0,-9.354280000000001,-0.2425314930793588,0.14297070342148668,0.7361908065426285
28.0,99.0,0.6,930.0,-14.14192,-0.2602352345118316,0.14280912057148668,0.7361908065426285
28.0,99.0,0.6,1023.0,-18.92956,-0.26693992359452207,0.1426475377214867,0.7361908065426285
28.0,99.0,0.6,1116.0,-23.717200000000002,-0.2734878772254901,0.1424859548714867,0.7361908065426285
28.0,99.0,0.6,1209.0,-28.50484,-0.2798838258340902,0.14232437202148668,0.7361908065426285
28.0,99.0,0.6,1302.0,-33.292480000000005,-0.28126422297783754,0.14216278917148667,0.7361908065426285
28.0,99.0,0.7,93.0,28.94684,-0.272803904364027,0.14426336622148667,0.7361908065426285
28.0,99.0,0.7,186.0,24.159200000000002,-0.2827085636585893,0.14410178337148666,0.7361908065426285
28.0,99.0,0.7,279.0,19.371560000000002,-0.2908858426944456,0.1439402005214867,0.7361908065426285
28.0,99.0,0.7,372.0,14.58392,-0.30616165198851053,0.14377861767148667,0.7361908065426285
28.0,99.0,0.7,465.0,9.79628,-0.3308910478932346,0.1436170348214867,0.7361908065426285
28.0,99.0,0.7,558.0,5.00864,-0.35577840652979015,0.14345545197148668,0.7361908065426285
28.0,99.0,0.7,651.0,0.221,-0.38093637531209257,0.1432938691214867,0.7361908065426285
28.0,99.0,0.7,744.0,-4.5666400000000005,-0.40644534971400303,0.14313228627148666,0.7361908065426285
28.0,99.0,0.7,837.0,-9.354280000000001,-0.4323491323718673,0.14297070342148668,0.7361908065426285
28.0,99.0,0.7,930.0,-14.14192,-0.4585308845118316,0.14280912057148668,0.7361908065426285
28.0,99.0,0.7,1023.0,-18.92956,-0.46523557359452206,0.1426475377214867,0.7361908065426285
28.0,99.0,0.7,1116.0,-23.717200000000002,-0.4717835272254901,0.1424859548714867,0.7361908065426285
28.0,99.0,0.7,1209.0,-28.50484,-0.4781794758340902,0.14232437202148668,0.7361908065426285
28.0,99.0,0.7,1302.0,-33.292480000000005,-0.47955987297783753,0.14216278917148667,0.7361908065426285
28.0,99.0,0.8,93.0,28.94684,-0.4160174293640271,0.14426336622148667,0.7361908065426285
28.0,99.0,0.8,186.0,24.159200000000002,-0.4259220886585894,0.14410178337148666,0.7361908065426285
28.0,99.0,0.8,279.0,19.371560000000002,-0.4340993676944456,0.1439402005214867,0.7361908065426285
28.0,99.0,0.8,372.0,14.58392,-0.45329064440601896,0.14377861767148667,0.7361908065426285
28.0,99.0,0.8,465.0,9.79628,-0.486557769685743,0.1436170348214867,0.7361908065426285
28.0,99.0,0.8,558.0,5.00864,-0.5199828576972987,0.14345545197148668,0.7361908065426285
28.0,99.0,0.8,651.0,0.221,-0.553678555854601,0.1432938691214867,0.7361908065426285
28.0,99.0,0.8,744.0,-4.5666400000000005,-0.5877252596315115,0.14313228627148666,0.7361908065426285
