fc′,as,ec,fpe,Pu,Mu,Vu,carbon,ID
28.0,99.0,0.5,0.0,146.40613070607571,21.659649507389197,4.162721967531906,3.6061301597499447,1
28.0,99.0,0.5,37.2,144.4910747060757,21.659649507389197,4.162657334391904,3.6061301597499447,2
28.0,99.0,0.5,74.4,142.5760187060757,21.659649507389197,4.1625927012519055,3.6061301597499447,3
28.0,99.0,0.5,111.6,140.6609627060757,21.659649507389197,4.1625280681119055,3.6061301597499447,4
28.0,99.0,0.5,148.8,138.74590670607571,21.659649507389197,4.1624634349719045,3.6061301597499447,5
28.0,99.0,0.5,186.0,136.83085070607572,21.659649507389197,4.1623988018319045,3.6061301597499447,6
28.0,99.0,0.5,223.2,134.91579470607573,21.659649507389197,4.162334168691904,3.6061301597499447,7
28.0,99.0,0.5,260.4,133.0007387060757,21.659649507389197,4.162269535551905,3.6061301597499447,8
28.0,99.0,0.5,297.6,131.08568270607572,21.659649507389197,4.162204902411905,3.6061301597499447,9
28.0,99.0,0.5,334.8,129.1706267060757,22.092833012522856,4.162140269271905,3.6061301597499447,10
28.0,99.0,0.5,372.0,127.25557070607572,22.609332346929833,4.162075636131905,3.6061301597499447,11
28.0,99.0,0.5,409.2,125.34051470607572,23.125831681336805,4.162011002991905,3.6061301597499447,12
28.0,99.0,0.5,446.4,123.42545870607572,23.64233101574378,4.161946369851906,3.6061301597499447,13
28.0,99.0,0.5,483.6,121.51040270607572,24.15883035015075,4.161881736711904,3.6061301597499447,14
28.0,99.0,0.5,520.8,119.59534670607572,24.675329684557724,4.161817103571905,3.6061301597499447,15
28.0,99.0,0.5,558.0,117.68029070607571,25.191829018964697,4.161752470431905,3.6061301597499447,16
28.0,99.0,0.5,595.2,115.7652347060757,25.708328353371673,4.161687837291905,3.6061301597499447,17
28.0,99.0,0.5,632.4,113.85017870607571,26.224827687778646,4.161623204151905,3.6061301597499447,18
28.0,99.0,0.5,669.6,111.93512270607572,26.74132702218562,4.161558571011905,3.6061301597499447,19
28.0,99.0,0.5,706.8,110.02006670607572,27.257826356592588,4.161493937871905,3.6061301597499447,20
28.0,99.0,0.5,744.0,108.10501070607572,27.774325690999564,4.1614293047319055,3.6061301597499447,21
28.0,99.0,0.5,781.2,106.18995470607571,28.290825025406537,4.161364671591905,3.6061301597499447,22
28.0,99.0,0.5,818.4,104.27489870607572,28.80732435981351,4.161300038451905,3.6061301597499447,23
28.0,99.0,0.5,855.6,102.35984270607572,29.323823694220483,4.1612354053119045,3.6061301597499447,24
28.0,99.0,0.5,892.8,100.44478670607573,29.84032302862746,4.161170772171905,3.6061301597499447,25
28.0,99.0,0.5,930.0,98.52973070607571,29.990283933308117,4.161106139031905,3.6061301597499447,26
28.0,99.0,0.6,0.0,146.40613070607571,23.10362614121514,4.162721967531906,3.6061301597499447,27
28.0,99.0,0.6,37.2,144.4910747060757,23.10362614121514,4.162657334391904,3.6061301597499447,28
28.0,99.0,0.6,74.4,142.5760187060757,23.10362614121514,4.1625927012519055,3.6061301597499447,29
28.0,99.0,0.6,111.6,140.6609627060757,23.10362614121514,4.1625280681119055,3.6061301597499447,30
28.0,99.0,0.6,148.8,138.74590670607571,23.10362614121514,4.1624634349719045,3.6061301597499447,31
28.0,99.0,0.6,186.0,136.83085070607572,23.10362614121514,4.1623988018319045,3.6061301597499447,32
28.0,99.0,0.6,223.2,134.91579470607573,23.10362614121514,4.162334168691904,3.6061301597499447,33
28.0,99.0,0.6,260.4,133.0007387060757,23.10362614121514,4.162269535551905,3.6061301597499447,34
28.0,99.0,0.6,297.6,131.08568270607572,23.10362614121514,4.162204902411905,3.6061301597499447,35
28.0,99.0,0.6,334.8,129.1706267060757,23.565688546691046,4.162140269271905,3.6061301597499447,36
