x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,0.7,37.2,191.964864,25.976236950975743,4.2247190033326625,4.815368644201815
28.0,99.0,0.7,74.4,190.049808,25.72035391750564,4.224654370192662,4.815368644201815
28.0,99.0,0.7,111.6,188.134752,25.493183783634148,4.224589737052663,4.815368644201815
28.0,99.0,0.7,148.8,186.219696,25.286915100908796,4.224525103912662,4.815368644201815
28.0,99.0,0.7,186.0,184.30464,25.098185884620595,4.224460470772662,4.815368644201815
28.0,99.0,0.7,223.2,182.389584,24.923442683802225,4.224395837632662,4.815368644201815
28.0,99.0,0.7,260.4,180.47452800000002,24.761390814102537,4.224331204492662,4.815368644201815
28.0,99.0,0.7,297.6,178.559472,24.6866135290749,4.224266571352663,4.815368644201815
28.0,99.0,0.7,334.8,176.644416,25.129336410990124,4.224201938212663,4.815368644201815
28.0,99.0,0.7,372.0,174.72935999999999,25.574266518965242,4.224137305072663,4.815368644201815
28.0,99.0,0.7,409.2,172.814304,26.020506909277742,4.224072671932662,4.815368644201815
28.0,99.0,0.7,446.4,170.899248,26.46736225716657,4.224008038792662,4.815368644201815
28.0,99.0,0.7,483.6,168.98419199999998,26.91349594760221,4.223943405652663,4.815368644201815
28.0,99.0,0.7,520.8,167.069136,27.358909564937566,4.223878772512663,4.815368644201815
28.0,99.0,0.7,558.0,165.15408,27.80276591377003,4.223814139372663,4.815368644201815
28.0,99.0,0.8,0.0,193.87992,28.35935018561357,4.2247836364726625,4.815368644201815
28.0,99.0,0.8,37.2,191.964864,28.06457092597574,4.2247190033326625,4.815368644201815
28.0,99.0,0.8,74.4,190.049808,27.808687892505638,4.224654370192662,4.815368644201815
28.0,99.0,0.8,111.6,188.134752,27.581517758634142,4.224589737052663,4.815368644201815
28.0,99.0,0.8,148.8,186.219696,27.375249075908794,4.224525103912662,4.815368644201815
28.0,99.0,0.8,186.0,184.30464,27.186519859620596,4.224460470772662,4.815368644201815
28.0,99.0,0.8,223.2,182.389584,27.011776658802223,4.224395837632662,4.815368644201815
28.0,99.0,0.8,260.4,180.47452800000002,26.849724789102535,4.224331204492662,4.815368644201815
28.0,99.0,0.8,297.6,178.559472,26.78143805255975,4.224266571352663,4.815368644201815
28.0,99.0,0.8,334.8,176.644416,27.27395966772497,4.224201938212663,4.815368644201815
28.0,99.0,0.8,372.0,174.72935999999999,27.76868850895009,4.224137305072663,4.815368644201815
28.0,99.0,0.8,409.2,172.814304,28.264727632512596,4.224072671932662,4.815368644201815
28.0,99.0,0.8,446.4,170.899248,28.761381713651417,4.224008038792662,4.815368644201815
28.0,99.0,0.8,483.6,168.98419199999998,29.25731413733706,4.223943405652663,4.815368644201815
28.0,99.0,0.8,520.8,167.069136,29.752526487922417,4.223878772512663,4.815368644201815
28.0,99.0,0.8,558.0,165.15408,30.246181570004875,4.223814139372663,4.815368644201815
28.0,99.0,0.9,0.0,193.87992,30.447684160613576,4.2247836364726625,4.815368644201815
28.0,99.0,0.9,37.2,191.964864,30.15290490097574,4.2247190033326625,4.815368644201815
28.0,99.0,0.9,74.4,190.049808,29.89702186750564,4.224654370192662,4.815368644201815
28.0,99.0,0.9,111.6,188.134752,29.66985173363414,4.224589737052663,4.815368644201815
